Source,Target,Type,Weight
"Betulaceae","Irregular",directed,1
"Polygalaceae","Mata",directed,1
"Verbenaceae","Irregular",directed,1
"Sapindaceae","Ovoidal",directed,1
"Apocynaceae","Extendida",directed,1
"Malvaceae","Cilindrocónica",directed,2
"Arecaceae","Abanico",directed,4
"Elaeagnaceae","Esférica",directed,2
"Cistaceae","Mata",directed,1
"Simaroubaceae","Esférica",directed,1
"Pittosporaceae","Esférica",directed,1
"Fagaceae","Ovoidal",directed,2
"Paulowniaceae","Extendida",directed,1
"Bignoniaceae","Extendida",directed,2
"Xanthorrhoeaceae","Extendida",directed,2
"Menispermaceae","Extendida",directed,1
"Solanaceae","Esférica",directed,2
"Araliaceae","Trepadera",directed,1
"Convolvulaceae","Trepadera",directed,1
"Salicaceae","Irregular",directed,1
"Cycadaceae","Parasol",directed,2
"Pinaceae","Cónica",directed,2
"Magnoliaceae","Cónica",directed,1
"Rutaceae","Esférica",directed,7
"Primulaceae","Esférica",directed,1
"Santalaceae","Irregular",directed,1
"Lauraceae","Esférica",directed,1
"Caprifoliaceae","Ovoidal",directed,3
"Myrtaceae","Ovoidal",directed,1
"Taxaceae","Cónica",directed,1
"Araliaceae","Ovoidal",directed,1
"Bignoniaceae","Trepadera",directed,4
"Verbenaceae","Pendular",directed,1
"Asteraceae","Extendida",directed,4
"Brassicaceae","Extendida",directed,1
"Anacardiaceae","Pendular",directed,1
"Rutaceae","Ovoidal",directed,2
"Asteraceae","Esférica",directed,1
"Piperaceae","Rastrera",directed,1
"Phytolaccaceae","Extendida",directed,1
"Strelitziaceae","Ovoidal",directed,2
"Rosaceae","Extendida",directed,1
"Cupressaceae","Cónica",directed,4
"Melianthaceae","Irregular",directed,1
"Ericaceae","Esférica",directed,1
"Casuarinaceae","Cilindrocónica",directed,1
"Cupressaceae","Cilindrocónica",directed,1
"Plumbaginaceae","Esférica",directed,1
"Rosaceae","Cónica",directed,2
"Cannabaceae","Esférica",directed,2
"Crassulaceae","Extendida",directed,1
"Apocynaceae","Ovoidal",directed,1
"Verbenaceae","Ovoidal",directed,1
"Fabaceae","Ovoidal",directed,1
"Leguminosae","Ovoidal",directed,1
"Violaceae","Extendida",directed,1
"Fagaceae","Esférica",directed,2
"Ebenaceae","Esférica",directed,1
"Cyperaceae","Mata",directed,1
