Id,Type,Label,X,Y
"Abanico","Canopy","Abanico   ",4.840800002892597,2.8193718966943595
"Polygonaceae","Family","Polygonaceae   ",7.328315705928549,-4.897510290893822
"Salicaceae","Family","Salicaceae   ",-7.0338118063797355,3.329245039373516
"Amaryllidaceae","Family","Amaryllidaceae   ",7.232481840067642,1.9488575769411371
"Primulaceae","Family","Primulaceae   ",-8.251628705906537,-4.712031407787836
"Paulowniaceae","Family","Paulowniaceae   ",9.887331624035795,-3.618996142849353
"Nyctaginaceae","Family","Nyctaginaceae   ",-0.3303687623949456,-6.08429449495092
"Phytolaccaceae","Family","Phytolaccaceae   ",9.788222785541134,-0.5875340076133645
"Cactaceae","Family","Cactaceae   ",7.723327308117276,5.118238353531977
"Casuarinaceae","Family","Casuarinaceae   ",5.86268749248773,9.807630966362852
"Rosaceae","Family","Rosaceae   ",-0.6395010226346021,1.1885714700943206
"Araucariaceae","Family","Araucariaceae   ",-2.938615865725676,8.738585423218595
"Calycanthaceae","Family","Calycanthaceae   ",-9.705373329261132,3.4755239898640826
"Juglandaceae","Family","Juglandaceae   ",-6.803092961129781,-6.297812289733487
"Xanthorrhoeaceae","Family","Xanthorrhoeaceae   ",2.8965194738678717,-0.6082613481035452
"Myristicaceae","Family","Myristicaceae   ",-2.442454216389885,-7.918113639095984
"Euphorbiaceae","Family","Euphorbiaceae   ",-0.15502829638833174,1.890086358092378
"Pittosporaceae","Family","Pittosporaceae   ",-2.403576242465979,-6.422096928865919
"Poaceae","Family","Poaceae   ",5.998747789588821,3.5471528603491485
"Asteraceae","Family","Asteraceae   ",1.2184819696219877,0.15967650213666426
"Hippocastanaceae","Family","Hippocastanaceae   ",-1.3150778239057959,-7.881581234744073
"Oleaceae","Family","Oleaceae   ",0.18104377361121052,-0.9522762708433089
"Magnoliaceae","Family","Magnoliaceae   ",-10.247858821480243,6.178043430459966
"Celastraceae","Family","Celastraceae   ",-5.957608565683074,-3.0995270104437163
"Buxaceae","Family","Buxaceae   ",0.8754823659746217,-6.9663004440546406
"Piperaceae","Family","Piperaceae   ",7.233672165662279,-7.084402017445127
"Pinaceae","Family","Pinaceae   ",-3.7393261112974185,5.676500860018863
"Balsaminaceae","Family","Balsaminaceae   ",10.576466829427238,-6.727015712311047
"Parasol","Canopy","Parasol   ",0.6024052074900885,5.898785428862958
"Nephrolepidaceae","Family","Nephrolepidaceae   ",6.852073641937659,7.845690944916054
"Musaceae","Family","Musaceae   ",9.87224232951303,3.508573355614023
"Pteridaceae","Family","Pteridaceae   ",9.357712894659949,-2.031094284970198
"Bombacaceae","Family","Bombacaceae   ",-9.429615370408118,8.002328611867611
"Altingiaceae","Family","Altingiaceae   ",-9.928029507194525,7.191417762121893
"Lamiaceae","Family","Lamiaceae   ",0.46226500637100526,0.6384431560608911
"Onagraceae","Family","Onagraceae   ",4.1760269420012355,10.584250005454654
"Aquifoliaceae","Family","Aquifoliaceae   ",-6.0918729011342725,-7.031983816914842
"Caprifoliaceae","Family","Caprifoliaceae   ",-1.0070349976202548,-3.562191965041483
"Saxifragaceae","Family","Saxifragaceae   ",8.680636816279666,-4.67474388382871
"Rastrera","Canopy","Rastrera   ",5.702400575351841,-5.4319434724597935
"Esférica","Canopy","Esférica   ",-3.2422511423818747,-2.5881399488208547
"Lythraceae","Family","Lythraceae   ",1.8588423563058951,-1.3570885432805018
"Cyperaceae","Family","Cyperaceae   ",5.725686490741671,7.898678742594187
"Taxodiaceae","Family","Taxodiaceae   ",-4.796167749499511,-6.996917690711893
"Moraceae","Family","Moraceae   ",-0.36031586850969904,-1.448441746442496
"Amaranthaceae","Family","Amaranthaceae   ",-8.016141790403791,9.232842816952115
"Pendular","Canopy","Pendular   ",-4.132934335079899,-0.2523906834461893
"Hydrangeaceae","Family","Hydrangeaceae   ",-3.7046673952359197,-7.722667781285394
"Iridaceae","Family","Iridaceae   ",8.705847633819928,6.384548498686381
"Trepadera","Canopy","Trepadera   ",3.307902526443903,-4.180028100343947
"Meliaceae","Family","Meliaceae   ",8.938008766150265,-3.6706565511608016
"Bignoniaceae","Family","Bignoniaceae   ",1.3661983482974904,-2.9819778250728177
"Tamaricaceae","Family","Tamaricaceae   ",-10.201670751860227,0.9487943881286797
"Cannaceae","Family","Cannaceae   ",10.223735877765904,-2.7487602211826534
"Ebenaceae","Family","Ebenaceae   ",-3.4068656419372245,-5.455856376131282
"Acanthaceae","Family","Acanthaceae   ",9.099815696934195,1.1963077029115388
"Plumbaginaceae","Family","Plumbaginaceae   ",-7.755403514571657,-3.833523730357564
"Solanaceae","Family","Solanaceae   ",-0.08056675843048328,-5.094249301195689
"Brassicaceae","Family","Brassicaceae   ",7.5071499076109625,2.9796572475506147
"Cannabaceae","Family","Cannabaceae   ",-8.541979474212555,-3.2087072617373176
"Ovoidal","Canopy","Ovoidal   ",-1.62520995872841,-2.7460116055121166
"Cupressaceae","Family","Cupressaceae   ",-1.581848255468437,3.0890758138987557
"Ulmaceae","Family","Ulmaceae   ",-3.751998538898548,1.5423364920948004
"Vitaceae","Family","Vitaceae   ",5.226549776231404,-8.65634718019079
"Cónica","Canopy","Cónica   ",-5.279560257369046,5.1541769772042105
"Lauraceae","Family","Lauraceae   ",-4.446460589367323,0.7833305148365921
"Convolvulaceae","Family","Convolvulaceae   ",6.34561396108133,-8.016243619444998
"Ginkgoaceae","Family","Ginkgoaceae   ",-9.138557806437234,4.136754162106366
"Cilindrocónica","Canopy","Cilindrocónica   ",2.398968083274426,6.203801710421889
"Berberidaceae","Family","Berberidaceae   ",-7.894423568661321,-1.6046308079642992
"Rhamnaceae","Family","Rhamnaceae   ",0.6463334630677439,1.6837248132183833
"Aizoaceae","Family","Aizoaceae   ",10.07751797136565,-7.9511252542344915
"Caesalpiniaceae","Family","Caesalpiniaceae   ",-9.559625482511802,2.1339879587157076
"Rutaceae","Family","Rutaceae   ",-4.695486285894196,-5.09790845252962
"Arecaceae","Family","Arecaceae   ",4.742303500746708,6.666297952362513
"Betulaceae","Family","Betulaceae   ",-9.806099674456576,-0.8781957779042863
"Laxmanniaceae","Family","Laxmanniaceae   ",9.640198024006866,4.539617646092356
"Anacardiaceae","Family","Anacardiaceae   ",-1.8703530024544806,2.4049926200453706
"Zingiberaceae","Family","Zingiberaceae   ",4.712325831134828,8.56878326176515
"Liliaceae","Family","Liliaceae   ",10.693659999156747,-0.895406244664522
"Adoxaceae","Family","Adoxaceae   ",-4.180078540376191,-6.336807885420784
"Leguminosae","Family","Leguminosae   ",-5.793092876050527,-4.423860385790145
"Fagaceae","Family","Fagaceae   ",-3.232967116889981,-6.85670970927274
"Asparagaceae","Family","Asparagaceae   ",1.601142679690139,-0.46894172239144644
"Violaceae","Family","Violaceae   ",10.504362770501738,-1.8481388598975028
"Cycadaceae","Family","Cycadaceae   ",1.8030347342868245,10.353784854508534
"Menispermaceae","Family","Menispermaceae   ",10.300383682070208,0.41609308271315426
"Myrtaceae","Family","Myrtaceae   ",-1.759902068764221,1.660909114559255
"Bromeliaceae","Family","Bromeliaceae   ",9.27422893922059,5.465972301829278
"Araceae","Family","Araceae   ",8.904862976381457,2.1084422920937826
"Crassulaceae","Family","Crassulaceae   ",8.444260639419147,0.3200225619623327
"Aceraceae","Family","Aceraceae   ",-7.602428773693106,-5.763840965274516
"Proteaceae","Family","Proteaceae   ",-8.884882932652179,8.7682732803387
"Santalaceae","Family","Santalaceae   ",-10.352304807658275,2.827979319944311
"Cistaceae","Family","Cistaceae   ",7.496170449599783,6.3226708356238115
"Buddlejaceae","Family","Buddlejaceae   ",-8.640855444448759,0.1306408476998075
"Simaroubaceae","Family","Simaroubaceae   ",-7.201966455692869,-4.8614263186176165
"Zamiaceae","Family","Zamiaceae   ",-8.099397053577782,1.8909711492040437
"Fabaceae","Family","Fabaceae   ",-0.16100143207750653,-0.41508989505158783
"Araliaceae","Family","Araliaceae   ",2.1939975078208134,0.7307357716913818
"Agavaceae","Family","Agavaceae   ",3.8959529773113832,7.382502429555011
"Nymphaeaceae","Family","Nymphaeaceae   ",9.216730850827107,-9.009649312446024
"Malvaceae","Family","Malvaceae   ",-0.7708513975153852,2.31780645801663
"Melianthaceae","Family","Melianthaceae   ",-7.46764380542928,5.408495920486917
"Annonaceae","Family","Annonaceae   ",-10.58977238414408,1.7811817470425235
"Irregular","Canopy","Irregular   ",-5.21739206403366,1.149538053355992
"Mata","Canopy","Mata   ",3.2561958046053237,3.9370630446884776
