Source,Target,Type,Weight
"Sur","Santalaceae",directed,1
"Macarena","Caesalpiniaceae",directed,1
"Triana","Adoxaceae",directed,1
"Norte","Simaroubaceae",directed,2
"Sur","Lythraceae",directed,6
"Casco Antiguo","Aizoaceae",directed,1
"Norte","Vitaceae",directed,1
"Los Remedios","Euphorbiaceae",directed,1
"Los Remedios","Altingiaceae",directed,2
"Los Remedios","Nyctaginaceae",directed,2
"Triana","Magnoliaceae",directed,3
"Macarena","Solanaceae",directed,4
"Sur","Pittosporaceae",directed,2
"Casco Antiguo","Scrophulariaceae",directed,2
"Casco Antiguo","Bignoniaceae",directed,15
"Triana","Proteaceae",directed,4
"Macarena","Verbenaceae",directed,2
"Macarena","Nyctaginaceae",directed,2
"Triana","Sapindaceae",directed,8
"Sur","Altingiaceae",directed,3
"Sur","Malvaceae",directed,21
"Los Remedios","Santalaceae",directed,1
"Los Remedios","Sapindaceae",directed,4
"Norte","Tamaricaceae",directed,3
"Casco Antiguo","Fagaceae",directed,6
"Macarena","Agavaceae",directed,3
"Casco Antiguo","Taxodiaceae",directed,2
"Casco Antiguo","Ulmaceae",directed,9
"Los Remedios","Pittosporaceae",directed,2
"Triana","Pinaceae",directed,12
"Casco Antiguo","Tamaricaceae",directed,3
"Los Remedios","Araucariaceae",directed,2
"Triana","Piperaceae",directed,2
"Sur","Verbenaceae",directed,1
"Macarena","Adoxaceae",directed,2
"Triana","Myrtaceae",directed,7
"Triana","Fagaceae",directed,5
"Casco Antiguo","Arecaceae",directed,57
"Triana","Malvaceae",directed,20
"Norte","Meliaceae",directed,3
"Casco Antiguo","Casuarinaceae",directed,3
"Triana","Casuarinaceae",directed,3
"Casco Antiguo","Menispermaceae",directed,2
"Sur","Poaceae",directed,3
"Los Remedios","Vitaceae",directed,1
"Sur","Cactaceae",directed,1
"Sur","Bignoniaceae",directed,13
"Norte","Brassicaceae",directed,1
"Triana","Lauraceae",directed,5
"Sur","Arecaceae",directed,39
"Casco Antiguo","Simaroubaceae",directed,2
"Los Remedios","Adoxaceae",directed,1
"Norte","Pedaliaceae",directed,1
"Los Remedios","Ginkgoaceae",directed,1
"Triana","Phytolaccaceae",directed,3
"Casco Antiguo","Moraceae",directed,24
"Triana","Santalaceae",directed,1
"Macarena","Strelitziaceae",directed,1
"Casco Antiguo","Vitaceae",directed,2
"Los Remedios","Simaroubaceae",directed,1
"Sur","Buxaceae",directed,1
"Macarena","Annonaceae",directed,1
"Sur","Piperaceae",directed,2
"Norte","Fabaceae",directed,34
"Sur","Simaroubaceae",directed,2
"Macarena","Anacardiaceae",directed,3
"Norte","Araucariaceae",directed,2
"Casco Antiguo","Magnoliaceae",directed,7
"Sur","Menispermaceae",directed,1
"Macarena","Oleaceae",directed,16
"Triana","Altingiaceae",directed,4
"Los Remedios","Malvaceae",directed,13
"Casco Antiguo","Proteaceae",directed,6
"Norte","Cupressaceae",directed,9
"Norte","Solanaceae",directed,4
"Norte","Pittosporaceae",directed,2
"Casco Antiguo","Amaranthaceae",directed,1
"Macarena","Sapindaceae",directed,2
"Macarena","Piperaceae",directed,2
"Los Remedios","Poaceae",directed,2
"Triana","Bromeliaceae",directed,1
"Sur","Caesalpiniaceae",directed,5
"Norte","Santalaceae",directed,1
"Macarena","Ginkgoaceae",directed,2
"Macarena","Betulaceae",directed,1
"Sur","Apocynaceae",directed,3
"Casco Antiguo","Solanaceae",directed,6
"Macarena","Cycadaceae",directed,1
"Los Remedios","Myrtaceae",directed,6
"Sur","Bombacaceae",directed,5
"Triana","Arecaceae",directed,30
"Sur","Lauraceae",directed,6
"Triana","Ginkgoaceae",directed,2
"Norte","Euphorbiaceae",directed,1
"Sur","Proteaceae",directed,5
"Casco Antiguo","Myrtaceae",directed,12
"Triana","Caesalpiniaceae",directed,4
"Triana","Pedaliaceae",directed,1
"Sur","Lamiaceae",directed,3
"Casco Antiguo","Bombacaceae",directed,3
"Los Remedios","Lauraceae",directed,4
"Casco Antiguo","Aquifoliaceae",directed,1
"Casco Antiguo","Celastraceae",directed,3
"Norte","Myrtaceae",directed,7
"Casco Antiguo","Fabaceae",directed,42
"Triana","Cupressaceae",directed,12
"Casco Antiguo","Phytolaccaceae",directed,4
"Norte","Myristicaceae",directed,1
"Casco Antiguo","Berberidaceae",directed,3
"Norte","Oleaceae",directed,18
"Macarena","Aceraceae",directed,1
"Norte","Malvaceae",directed,16
"Triana","Vitaceae",directed,1
"Norte","Rutaceae",directed,10
"Triana","Meliaceae",directed,4
"Casco Antiguo","Cactaceae",directed,1
"Macarena","Arecaceae",directed,19
"Sur","Myrtaceae",directed,12
"Casco Antiguo","Araceae",directed,2
"Macarena","Pinaceae",directed,7
"Macarena","Caprifoliaceae",directed,1
"Sur","Cannabaceae",directed,7
