Source,Target,Type,Weight
"Taxodiaceae","María Luisa",directed,1
"Pinaceae","Barranco-Colón-Ayto",directed,2
"Caesalpiniaceae","María Luisa",directed,1
"Moraceae","Ribera del Guadaira-Ayto",directed,4
"Rutaceae","Celestino Mutis-Ayto",directed,1
"Bignoniaceae","Cristina-Ayto",directed,1
"Magnoliaceae","Casino",directed,1
"Rutaceae","Otros-Ayto",directed,5
"Anacardiaceae","Guadalquivir-Ayto",directed,1
"Casuarinaceae","Alcosa-Ayto",directed,1
"Platanaceae","Otros-Ayto",directed,1
"Fabaceae","Barranco-Colón-Ayto",directed,3
"Nephrolepidaceae","María Luisa",directed,1
"Lythraceae","Real Alcázar",directed,3
"Pedaliaceae","Calles de Sevilla-Ayto",directed,1
"Fabaceae","Buhaira-Ayto",directed,4
"Altingiaceae","Americano-Ayto",directed,1
"Vitaceae","Calles de Sevilla-Ayto",directed,1
"Ulmaceae","Ribera del Guadaira-Ayto",directed,2
"Cannabaceae","Otros-Ayto",directed,2
"Bombacaceae","Otros-Ayto",directed,1
"Moraceae","Murillo",directed,1
"Euphorbiaceae","Bermejales-Ayto",directed,1
"Cannabaceae","Catalina de Ribera-Ayto",directed,1
"Salicaceae","Cortijo del Cuarto-Ayto",directed,2
"Moraceae","Guadalquivir-Ayto",directed,5
"Oleaceae","Bermejales-Ayto",directed,2
"Ginkgoaceae","Rey JCI-Torneo-Ayto",directed,1
"Platanaceae","María Luisa",directed,2
"Acanthaceae","Perdigones",directed,1
"Oleaceae","Casino",directed,3
"Ulmaceae","Alcosa-Ayto",directed,1
"Lamiaceae","Calles de Sevilla-Ayto",directed,2
"Calycanthaceae","Real Alcázar",directed,1
"Garryaceae","Casino",directed,1
"Phytolaccaceae","CEIP Vélez de Guevara",directed,1
"Poaceae","María Luisa",directed,5
"Simaroubaceae","Delicias-Ayto",directed,1
"Cactaceae","María Luisa",directed,1
"Platanaceae","Plaza Nueva-Ayto",directed,1
"Platanaceae","Rey JCI-Torneo-Ayto",directed,1
"Phytolaccaceae","Otros-Ayto",directed,1
"Acanthaceae","María Luisa",directed,2
"Myrtaceae","Guadaira",directed,1
"Zingiberaceae","Calles de Sevilla-Ayto",directed,1
"Pinaceae","Vega de Triana-Ayto",directed,1
"Asteraceae","María Luisa",directed,2
"Platanaceae","Prado-Ayto",directed,1
"Platanaceae","Barranco-Colón-Ayto",directed,1
"Araucariaceae","Calles de Sevilla-Ayto",directed,1
"Sapindaceae","Vega de Triana-Ayto",directed,1
"Meliaceae","Buhaira-Ayto",directed,1
"Cupressaceae","Murillo",directed,2
"Magnoliaceae","Buhaira-Ayto",directed,1
"Berberidaceae","Catalina de Ribera-Ayto",directed,1
"Myrtaceae","Murillo",directed,2
"Hippocastanaceae","María Luisa",directed,1
"Bombacaceae","Real Alcázar",directed,1
"Oleaceae","Los Príncipes-Ayto",directed,3
"Malvaceae","Murillo",directed,2
"Oleaceae","Alcosa-Ayto",directed,3
"Araliaceae","Calles de Sevilla-Ayto",directed,2
"Casuarinaceae","Vega de Triana-Ayto",directed,1
"Moraceae","Real Alcázar",directed,5
"Moraceae","San Jerónimo-Ayto",directed,2
"Moraceae","Otros-Ayto",directed,7
"Phytolaccaceae","Guadalquivir-Ayto",directed,1
"Bignoniaceae","Amate-Ayto",directed,2
"Rutaceae","Prado-Ayto",directed,1
"Solanaceae","Perdigones",directed,1
"Buddlejaceae","María Luisa",directed,1
"Tamaricaceae","San Jerónimo-Ayto",directed,1
"Araucariaceae","Celestino Mutis-Ayto",directed,1
"Malvaceae","Calles de Sevilla-Ayto",directed,8
"Pinaceae","Infanta Elena-Ayto",directed,2
"Cupressaceae","Ribera del Guadaira-Ayto",directed,2
"Arecaceae","Perdigones",directed,2
"Casuarinaceae","Los Príncipes-Ayto",directed,1
"Pinaceae","Cortijo del Cuarto-Ayto",directed,1
"Lamiaceae","Real Alcázar",directed,4
"Sapindaceae","Guadalquivir-Ayto",directed,2
"Araceae","Casino",directed,2
"Caesalpiniaceae","Tamarguillo-Ayto",directed,1
"Anacardiaceae","Otros-Ayto",directed,2
"Oleaceae","San Jerónimo-Ayto",directed,4
"Polygalaceae","Santa Clara-Don Fadrique",directed,1
"Araceae","Santa Clara-Don Fadrique",directed,1
"Rosaceae","Tamarguillo-Ayto",directed,3
"Poaceae","Calles de Sevilla-Ayto",directed,2
"Apocynaceae","María Luisa",directed,3
"Ginkgoaceae","Tamarguillo-Ayto",directed,1
"Magnoliaceae","Guadalquivir-Ayto",directed,1
"Sapindaceae","Amate",directed,1
"Asparagaceae","Real Alcázar",directed,4
"Caesalpiniaceae","Amate-Ayto",directed,1
"Rutaceae","Los Príncipes-Ayto",directed,2
"Anacardiaceae","Ribera del Guadaira-Ayto",directed,1
"Magnoliaceae","Amate-Ayto",directed,1
"Malvaceae","San Jerónimo-Ayto",directed,1
"Sapindaceae","Buhaira-Ayto",directed,1
"Sapindaceae","Los Príncipes-Ayto",directed,1
"Moraceae","Perdigones",directed,1
"Pinaceae","Ranillas-Ayto",directed,5
"Bignoniaceae","Real Alcázar",directed,7
"Cistaceae","María Luisa",directed,1
"Solanaceae","Santa Clara-Don Fadrique",directed,1
"Moraceae","Ranillas-Ayto",directed,1
"Cannabaceae","Celestino Mutis-Ayto",directed,1
"Sapindaceae","Barranco-Colón-Ayto",directed,1
"Asteraceae","Real Alcázar",directed,5
"Elaeagnaceae","Ribera del Guadaira-Ayto",directed,1
"Moraceae","Americano-Ayto",directed,1
"Agavaceae","Calles de Sevilla-Ayto",directed,3
"Ulmaceae","Casino",directed,2
"Cannabaceae","Bermejales-Ayto",directed,1
"Oleaceae","Real Alcázar",directed,6
"Meliaceae","El Turruñuelo-Ayto",directed,1
"Meliaceae","Santa Clara-Don Fadrique",directed,1
"Ginkgoaceae","Guadalquivir-Ayto",directed,1
"Berberidaceae","Murillo",directed,1
"Cyperaceae","María Luisa",directed,2
"Cupressaceae","El Turruñuelo-Ayto",directed,1
"Fabaceae","María Luisa",directed,8
"Cupressaceae","Santa Clara-Don Fadrique",directed,1
"Fabaceae","CEIP Vélez de Guevara",directed,3
"Ericaceae","Tamarguillo-Ayto",directed,1
"Laxmanniaceae","Miraflores-Ayto",directed,1
"Rutaceae","San Jerónimo-Ayto",directed,1
"Fabaceae","Prado-Ayto",directed,2
"Fagaceae","Norte-Ayto",directed,2
"Nyctaginaceae","Amate",directed,1
"Oleaceae","Santa Clara-Don Fadrique",directed,3
"Euphorbiaceae","Calles de Sevilla-Ayto",directed,1
"Celastraceae","Amate",directed,1
"Plumbaginaceae","María Luisa",directed,1
"Myrtaceae","Barranco-Colón-Ayto",directed,1
"Bignoniaceae","Bermejales-Ayto",directed,2
"Elaeagnaceae","San Jerónimo-Ayto",directed,1
"Malvaceae","Prado-Ayto",directed,1
"Brassicaceae","Calles de Sevilla-Ayto",directed,1
"Malvaceae","Cristina-Ayto",directed,3
"Meliaceae","Casino",directed,1
"Solanaceae","Miraflores-Ayto",directed,1
"Violaceae","Real Alcázar",directed,1
"Cupressaceae","María Luisa",directed,6
"Bombacaceae","María Luisa",directed,1
"Pinaceae","Miraflores-Ayto",directed,4
"Proteaceae","Barranco-Colón-Ayto",directed,1
"Salicaceae","Bermejales-Ayto",directed,1
"Aceraceae","Real Alcázar",directed,1
"Asteraceae","Murillo",directed,1
"Acanthaceae","Amate",directed,1
"Leguminosae","Ribera del Guadaira-Ayto",directed,1
"Fabaceae","Amate",directed,4
"Moraceae","Amate-Ayto",directed,4
"Arecaceae","Maestranza-Ayto",directed,6
"Pinaceae","Guadaira",directed,2
"Rosaceae","Amate",directed,2
"Ulmaceae","Barranco-Colón-Ayto",directed,1
"Primulaceae","María Luisa",directed,1
"Arecaceae","Ranillas-Ayto",directed,4
"Cannabaceae","Tamarguillo-Ayto",directed,1
"Lythraceae","Los Príncipes-Ayto",directed,1
"Lauraceae","Otros-Ayto",directed,1
"Myrtaceae","Delicias-Ayto",directed,1
"Ginkgoaceae","Real Alcázar",directed,1
"Agavaceae","Miraflores-Ayto",directed,1
"Nymphaeaceae","Real Alcázar",directed,1
"Arecaceae","Rey JCI-Torneo-Ayto",directed,5
"Verbenaceae","Real Alcázar",directed,4
"Ulmaceae","Amate-Ayto",directed,2
"Bombacaceae","Los Príncipes-Ayto",directed,1
"Rosaceae","María Luisa",directed,14
"Salicaceae","Barranco-Colón-Ayto",directed,1
