Source,Target,Type,Weight
"Fraxinus ornus","Los Príncipes-Ayto",directed,1
"Buxus sempervirens","Real Alcázar",directed,1
"Viburnum suspensum","Sur",directed,1
"Gleditsia triacanthos","Macarena",directed,1
"Yucca gloriosa","Barranco-Colón-Ayto",directed,1
"Citrus maxima","Obtusa",directed,1
"Pinus pinaster","Calles de Sevilla-Ayto",directed,1
"Platycladus orientalis","Calles de Sevilla-Ayto",directed,1
"Solandra maxima","Simple",directed,1
"Polygala myrtifolia","Mata",directed,1
"Euphorbia pulcherrima","Real Alcázar",directed,1
"Cupressus macrocarpa","Perenne",directed,1
"Ceratonia siliqua","Calles de Sevilla-Ayto",directed,1
"Pittosporum tenuifolium","Obovada",directed,1
"Teucrium fruticans","Mata",directed,1
"Celtis australis","Guadalquivir-Ayto",directed,1
"Aloe vera","Planta",directed,1
"Lagunaria patersonia","Alterna",directed,1
"Trachycarpus fortunei","Catalina de Ribera-Ayto",directed,1
"Trachycarpus fortunei","Agudo",directed,1
"Ipomoea spp.","María Luisa",directed,1
"Solanum bonariense","Ovada",directed,1
"Lagunaria patersonia","Agudo",directed,1
"Tilia x europaea","Sur",directed,1
"Lagunaria patersonia","Cuneada",directed,1
"Podranea ricasoliana","Perdigones",directed,1
"Ficus benjamina","Entero",directed,1
"Jacaranda mimosifolia","Bermejales-Ayto",directed,1
"Strelitzia reginae","Obtusa",directed,1
"Aesculus x carnea","María Luisa",directed,1
"Buxus sempervirens","Cuneada",directed,1
"Syzygium aromaticum","Árbol",directed,1
"Viburnum tinus","Sur",directed,1
"Psidium guajava","Agudo",directed,1
"Liquidambar styraciflua","Lobado",directed,1
"Acacia saligna","Oceanía",directed,1
"Brachychiton acerifolius","Triana",directed,1
"Tilia platyphyllos","Malvaceae",directed,1
"Eucalyptus globulus","Acuminado",directed,1
"Brachychiton populneus","Cristina-Ayto",directed,1
"Citrus aurantium","Sur",directed,1
"Citrus x paradisi","Cerro-Amate",directed,1
"Fraxinus angustifolia","Dentado",directed,1
