Id,Type,Label,X,Y
"Nymphaeaceae","Family","",13,-2
"Pectinado","Leaf_later","",10,-2
"Bambuseae (tribu)","Scientific","",1,0
"Verde","Flower_color","",10,10
"Teucrium fruticans","Scientific","",-5,0
"Clivia miniata","Scientific","",-3,3
"Thuja plicata","Scientific","",-10,-9
"Broussonetia papyrifera","Scientific","",-18,11
"Punica granatum","Scientific","",-2,3
"Buxus balearica","Scientific","",-12,6
"Viburnum suspensum","Scientific","",10,-1
"Saxifragaceae","Family","",10,9
"Nymphaea alba","Scientific","",4,0
"Simple","Leaf_type","",9,-3
"Abelia x grandiflora","Scientific","",-2,-8
"Washingtonia robusta","Scientific","",-20,7
"Tamarix gallica","Scientific","",0,-10
"San Pablo-Santa Justa","District","",9,-11
"Mata","Canopy","",8,-10
"Cedrus atlantica","Scientific","",14,6
"Triangular","Leaf_form","",19,-6
"Aesculus hippocastanum","Scientific","",-3,-1
"Phormium tenax","Scientific","",6,5
"Sapindaceae","Family","",-13,8
"Caprifoliaceae","Family","",-1,7
"Cupressus arizonica","Scientific","",-17,3
"Ficus benjamina","Scientific","",11,-10
"Primulaceae","Family","",14,-5
"Alterna","Leaf_layout","",13,4
"Phyllostachys aurea","Scientific","",20,3
"Doble Serrado","Leaf_later","",-9,11
"Peperomia obtusifolia","Scientific","",-10,8
"Celestino Mutis-Ayto","Park_zone","",12,-6
"Arecaceae","Family","",-17,6
"Styphnolobium japonicum","Scientific","",-12,-8
"Tamarguillo-Ayto","Park_zone","",-6,8
"Senecio lineatus","Scientific","",11,-1
"Trepadera","Canopy","",-1,-8
"Orbicular","Leaf_form","",-13,2
"Septos","Leaf_type","",13,-11
"Cyperaceae","Family","",4,0
"Melicoccus bijugatus","Scientific","",15,5
"Agapanthus umbellatus","Scientific","",-9,5
"Carpinus betulus","Scientific","",-9,-10
"Acanthus mollis","Scientific","",11,11
"Cuneada","Leaf_base","",-3,-3
"Polygalaceae","Family","",3,7
"Cascabela thevetia","Scientific","",3,-10
"Solanum bonariense","Scientific","",-12,-10
"Elaeagnus x ebbingei","Scientific","",6,3
"Oceanía","Origin","",-2,7
"Cinnamomum cassia-C. verum","Scientific","",-12,3
"Prunus persica","Scientific","",9,2
"Acacia saligna","Scientific","",0,-3
"Peltada","Leaf_base","",9,10
"Citrus myrtifolia","Scientific","",-16,0
"Senecio petasitis","Scientific","",-16,2
"Mucronado","Leaf_apex","",-14,1
"Muehlenbeckia complexa","Scientific","",-2,8
"Salicaceae","Family","",6,-2
"Fraxinus ornus","Scientific","",-9,-5
"Amate","Park_zone","",-15,-2
"Ananas comosus","Scientific","",12,7
"Hastada","Leaf_base","",-15,4
"Fabaceae","Family","",-18,-7
"No aparente","Flower_app","",5,-5
"Handroanthus chrysanthus-H. albus","Scientific","",16,3
"Melianthaceae","Family","",-14,8
"Arbutus unedo","Scientific","",-8,9
"Liliaceae","Family","",-1,8
"Digitada","Leaf_form","",-2,6
"Vitex agnus-castus","Scientific","",18,4
"Alcea rosea","Scientific","",9,-8
"Lonicera japonica","Scientific","",17,-10
"Thuja occidentalis","Scientific","",-11,0
"Zinnia elegans","Scientific","",11,6
"Rutaceae","Family","",2,-11
"Parasol","Canopy","",19,2
"Serrado","Leaf_later","",15,2
"Cortijo del Cuarto-Ayto","Park_zone","",-18,-5
"Acuática","Type","",-17,-9
"Platycladus orientalis","Scientific","",11,2
"Elíptica","Leaf_form","",-4,-11
"Aspidistra spp.","Scientific","",-10,-9
"Ipomoea spp.","Scientific","",-18,10
"Obovada","Leaf_form","",-1,-11
"Duranta repens","Scientific","",-4,-1
"Opuntia spp.","Scientific","",-14,3
"Calles de Sevilla-Ayto","Park_zone","",-14,6
"Schefflera actinophylla","Scientific","",5,-3
"Ceiba speciosa","Scientific","",-2,-11
"None","Flower_color","",-2,1
"Narcissus spp.","Scientific","",-19,-7
"Phragmites australis","Scientific","",-8,9
"Prunus cerasifera var. pissardii","Scientific","",1,4
"Lantana camara","Scientific","",-6,-8
"Bellavista-La Palmera","District","",7,-3
"Musa acuminata","Scientific","",-4,-8
