Source,Target,Type,Weight
"Africano","Ovoidal",directed,4
"Americano","Pendular",directed,4
"Oceanía","Trepadera",directed,1
"Oceanía","Extendida",directed,3
"Europeo-Mediterráneo","Mata",directed,9
"Oriental-Asiático","Ovoidal",directed,21
"Oriental-Asiático","Abanico",directed,8
"Oriental-Asiático","Extendida",directed,8
"Oceanía","Rastrera",directed,1
"Oriental-Asiático","Parasol",directed,4
"Europeo-Mediterráneo","Parasol",directed,2
"Americano","Cónica",directed,9
"Africano","Parasol",directed,3
"Oriental-Asiático","Trepadera",directed,11
"Americano","Abanico",directed,10
"Africano","Extendida",directed,7
"Europeo-Mediterráneo","Extendida",directed,8
"Americano","Rastrera",directed,3
"Europeo-Mediterráneo","Abanico",directed,2
"Europeo-Mediterráneo","Ovoidal",directed,24
"Africano","Cilindrocónica",directed,1
"Africano","Rastrera",directed,1
"Europeo-Mediterráneo","Rastrera",directed,2
"Africano","Esférica",directed,4
"Africano","Pendular",directed,2
"Oceanía","Mata",directed,2
"Americano","Cilindrocónica",directed,2
"Oriental-Asiático","Esférica",directed,30
"Oceanía","Esférica",directed,4
"Oriental-Asiático","Mata",directed,5
"Africano","Abanico",directed,4
"Oriental-Asiático","Cilindrocónica",directed,5
"Africano","Mata",directed,4
"Europeo-Mediterráneo","Irregular",directed,8
"Africano","Irregular",directed,3
"Americano","Ovoidal",directed,13
"Americano","Mata",directed,4
"Europeo-Mediterráneo","Esférica",directed,12
"Oceanía","Cónica",directed,7
"Americano","Irregular",directed,6
"Africano","Trepadera",directed,2
"Oriental-Asiático","Pendular",directed,3
"Europeo-Mediterráneo","Cónica",directed,5
"Americano","Trepadera",directed,8
"Americano","Parasol",directed,5
"Oceanía","Parasol",directed,4
"Oceanía","Irregular",directed,1
"Europeo-Mediterráneo","Cilindrocónica",directed,2
"Oceanía","Ovoidal",directed,4
"Oceanía","Cilindrocónica",directed,1
"Americano","Esférica",directed,16
"Oriental-Asiático","Irregular",directed,9
"Europeo-Mediterráneo","Trepadera",directed,1
"Americano","Extendida",directed,11
"Oriental-Asiático","Cónica",directed,7
