Id,Type,Label,X,Y
"Triana","District","Triana   ",1.5298233392257972,4.8121374955417355
"Macarena","District","Macarena   ",-8.514022701553728,-3.246693656179489
"Europeo-Mediterráneo","Origin","Europeo-Mediterráneo   ",-0.5953770189801156,-2.030926650976849
"Africano","Origin","Africano   ",-11.20740937547899,1.2205985135863644
"Sur","District","Sur   ",-3.715725539552019,3.2422085149018156
"Oriental-Asiático","Origin","Oriental-Asiático   ",-0.19485865269952618,0.11548897995898155
"Casco Antiguo","District","Casco Antiguo   ",-4.007673642051158,-0.3369184407121054
"Los Remedios","District","Los Remedios   ",9.415289382595592,-0.6934752719380958
"Norte","District","Norte   ",3.928728520240585,-4.288841062438829
"Americano","Origin","Americano   ",2.3480563660809435,-0.22149063217129736
"Oceanía","Origin","Oceanía   ",6.832736037302116,1.9890194953127072
