Source,Target,Type,Weight
"Europeo-Mediterráneo","Palmera",directed,2
"Americano","Acuática",directed,1
"Americano","Planta",directed,22
"Americano","Árbol",directed,37
"Oriental-Asiático","Árbol",directed,48
"Oceanía","Árbol",directed,16
"Oceanía","Enredadera",directed,1
"Africano","Arbusto",directed,5
"Europeo-Mediterráneo","Árbol",directed,37
"Africano","Palmera",directed,3
"Oriental-Asiático","Palmera",directed,5
"Oriental-Asiático","Enredadera",directed,10
"Oceanía","Planta",directed,3
"Europeo-Mediterráneo","Planta",directed,15
"Americano","Otras",directed,1
"Americano","Enredadera",directed,6
"Europeo-Mediterráneo","Arbusto",directed,18
"Europeo-Mediterráneo","Acuática",directed,2
"Americano","Palmera",directed,9
"Europeo-Mediterráneo","Enredadera",directed,2
"Oceanía","Arbusto",directed,5
"Oriental-Asiático","Planta",directed,24
"Americano","Arbusto",directed,15
"Africano","Árbol",directed,3
"Oceanía","Palmera",directed,3
"Africano","Planta",directed,21
"Oriental-Asiático","Arbusto",directed,25
"Africano","Enredadera",directed,3
