Id,Type,Label,X,Y
"Enredadera","Type","Enredadera   ",-11.220931416297987,-4.983656186409075
"Europeo-Mediterráneo","Origin","Europeo-Mediterráneo   ",2.8432437824621193,1.5553507011308654
"Árbol","Type","Árbol   ",-3.3665774803720927,0.8556980536980627
"Americano","Origin","Americano   ",5.103383287447097,-1.0272665201944957
"Planta","Type","Planta   ",-5.448302384785882,2.53067158159618
"Oriental-Asiático","Origin","Oriental-Asiático   ",-5.724087864972924,-0.16666833830795963
"Africano","Origin","Africano   ",-10.871369989016003,4.0160431696286345
"Arbusto","Type","Arbusto   ",-2.6323880920098714,-2.3580182636504423
"Palmera","Type","Palmera   ",-0.06927370273179181,7.518035057309861
"Acuática","Type","Acuática   ",19.999987721636128,3.3969583908847483
"Otras","Type","Otras   ",19.999977330614826,-10.358447076059877
"Oceanía","Origin","Oceanía   ",-13.839204554106313,0.2602215550328521
